,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Short_EMA,Close_Inverse,Rolling_Mean,Moving_Average_10,Upper_Band,Moving_Average_15,Long_EMA,Lower_Band,Expanding_Mean
0,0.02,0.03,0.01,0.02,0.01,0.01,0.02,0.02,0.03,,,0.01,,0.01,,0.02
1,0.01,0.01,0.01,,,,,,0.01,,,0.01,,,,
2,0.02,0.02,0.01,0.01,,0.01,,,0.02,,,,,,0.01,
3,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.02,
4,0.05,0.05,0.03,0.05,0.01,0.06,0.05,0.04,0.05,0.05,0.05,0.07,0.04,0.03,0.04,0.01
5,0.01,0.01,0.01,0.01,,0.01,,0.01,0.01,,,0.01,0.02,0.01,0.01,0.01
6,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,,0.02,
7,0.02,0.02,0.01,0.02,,0.02,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.02,0.01
8,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,0.03,
9,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.01
10,0.01,0.01,0.01,0.01,,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.02,0.01,0.05,0.01
11,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01
12,0.02,0.02,0.01,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01
13,0.01,0.01,0.01,0.01,,0.01,,,0.01,0.01,0.01,,0.01,0.01,0.01,0.01
14,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,,0.01,0.01,0.02,0.01
15,0.04,0.04,0.02,0.03,0.01,0.03,0.01,0.01,0.04,0.01,0.01,0.01,0.01,,0.02,
16,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.04,0.02,0.01,0.01,
17,0.02,0.02,0.01,0.01,,0.01,,,0.02,,,0.01,,,,
18,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.03,
19,0.02,0.02,0.01,0.02,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,,0.02,
20,0.03,0.03,0.01,0.03,0.01,0.02,0.01,0.01,0.03,0.01,0.01,0.02,,0.01,0.01,
21,0.04,0.04,0.02,0.04,0.01,0.03,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.01,0.04,
22,0.04,0.04,0.02,0.04,0.01,0.04,0.02,0.02,0.04,0.02,0.02,0.04,0.01,0.01,0.01,
23,0.01,0.01,0.01,0.02,,0.02,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.01,0.03,
24,0.01,0.01,,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
25,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.01,,,0.01,
26,0.04,0.04,0.02,0.04,0.01,0.03,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.01,0.04,
27,0.03,0.03,0.01,0.03,0.01,0.03,0.02,0.02,0.03,0.02,0.02,0.02,,0.01,0.02,
28,0.06,0.06,0.03,0.05,0.01,0.05,0.04,0.04,0.06,0.03,0.03,0.07,0.03,0.02,0.02,
29,0.01,0.01,0.01,0.01,,,,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.03,
30,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.01,0.01,
31,0.01,0.01,0.01,0.01,,0.01,,,0.01,,,,,,,
