,Cumulative_Returns,Close,Square_Root_Close,Moving_Average_3,Log_Close,Moving_Average_5,EMA,Upper_Band,Short_EMA,Rolling_Mean,Moving_Average_10,Close_Inverse,Moving_Average_15,Lower_Band,Long_EMA,Expanding_Mean
0,0.03,0.04,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.04,,,0.01,0.02
1,0.03,0.03,0.02,0.04,0.01,0.04,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.05,0.03,0.02
2,0.08,0.08,0.04,0.08,0.02,0.07,0.05,0.09,0.04,0.04,0.04,0.09,0.02,0.02,0.02,0.01
3,0.02,0.02,0.01,0.01,,0.01,0.02,0.01,0.02,0.03,0.03,0.02,0.04,0.09,0.02,0.01
4,0.06,0.06,0.03,0.06,0.01,0.05,0.04,0.07,0.04,0.04,0.04,0.06,0.03,0.02,0.03,0.02
5,0.03,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.03,0.02,0.02,0.01,0.01
6,0.06,0.06,0.03,0.05,0.01,0.04,0.03,0.02,0.02,0.02,0.02,0.06,0.02,0.06,0.01,0.01
7,0.03,0.03,0.01,0.02,0.01,0.01,0.02,0.06,0.02,0.03,0.03,0.03,0.03,0.01,0.02,
8,0.02,0.02,0.01,0.02,,0.01,0.01,,0.01,,,0.02,,0.01,0.01,
9,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,,,0.03,0.01,0.01,0.01,
10,0.06,0.06,0.03,0.07,0.01,0.07,0.06,0.08,0.05,0.06,0.06,0.06,0.04,0.06,0.03,0.01
11,0.02,0.02,0.01,0.02,,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0.02,0.01
12,0.05,0.05,0.03,0.06,0.01,0.06,0.05,0.07,0.04,0.05,0.05,0.05,0.03,0.04,0.04,0.01
13,0.03,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.03,0.03,0.03,0.01
14,0.02,0.02,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.01
15,0.04,0.04,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.04,,0.01,0.01,0.01
16,0.02,0.02,0.01,0.02,,0.01,,0.01,,0.01,0.01,0.02,0.01,0.02,0.01,0.01
17,0.02,0.02,0.01,0.02,,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.02,0.01,0.01
18,0.01,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.01,
19,0.03,0.03,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.03,0.01,0.04,0.01,
20,0.02,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,
21,0.03,0.03,0.01,0.03,0.01,0.03,0.03,0.02,0.02,0.03,0.03,0.03,0.02,0.04,0.02,
22,0.04,0.04,0.02,0.05,0.01,0.04,0.03,0.05,0.03,0.03,0.03,0.04,0.01,0.02,0.01,
23,0.02,0.02,0.01,0.03,0.01,0.04,0.04,0.04,0.03,0.04,0.04,0.02,0.04,0.05,0.02,
24,0.05,0.05,0.03,0.05,0.01,0.04,0.04,0.06,0.03,0.03,0.03,0.05,0.03,0.01,0.03,
25,0.02,0.02,0.01,0.01,,0.01,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.05,0.02,0.01
26,0.04,0.04,0.02,0.03,0.01,0.03,0.01,0.01,0.01,0.01,0.01,0.04,0.01,0.01,0.01,0.01
27,0.02,0.02,0.01,0.01,,0.01,0.01,0.02,0.01,0.01,0.01,0.02,,0.02,0.01,
28,0.03,0.03,0.01,0.02,0.01,0.01,0.01,,0.01,0.01,0.01,0.03,,0.02,,
29,0.02,0.02,0.01,0.01,,0.01,0.01,0.03,0.01,0.02,0.02,0.02,0.02,0.01,0.01,
30,0.02,0.02,0.01,0.02,,0.02,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.01,
31,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,0.01,,,
