,Close,Cumulative_Returns,Square_Root_Close,Log_Close,Close_Inverse,Moving_Average_3,Moving_Average_5,EMA,Short_EMA,Rolling_Mean,Moving_Average_10,Lower_Band,Moving_Average_15,Long_EMA,Upper_Band,Expanding_Mean
0,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,,,,,,,0.01
1,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,0.02,
2,0.04,0.04,0.02,0.01,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.04,
3,0.02,0.02,0.01,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,,
4,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01
5,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
6,0.03,0.03,0.02,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,0.01,0.01,
7,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.03,
8,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,,,0.01,,0.01,,
9,0.01,0.01,0.01,,0.01,0.01,0.01,,,,,0.01,0.01,,0.01,
10,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,,,,0.01,,,,
11,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,,,,,,0.01,
12,0.04,0.04,0.02,0.01,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.01,0.02,0.02,0.04,
13,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.01,,
14,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,
15,0.02,0.02,0.01,,0.02,0.01,0.01,,,0.01,0.01,0.02,0.01,0.01,0.01,
16,0.04,0.04,0.02,0.01,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.05,0.02,0.01,0.03,
17,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,
18,0.03,0.03,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,,0.01,
19,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.04,
20,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,,,0.01,
21,0.04,0.04,0.02,0.01,0.04,0.05,0.04,0.03,0.03,0.03,0.03,0.05,0.01,0.02,0.02,
22,0.01,0.01,0.01,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.02,
23,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
24,0.02,0.02,0.01,,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
25,0.04,0.04,0.02,0.01,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.05,
26,0.01,0.01,0.01,,0.01,0.01,0.01,,0.01,0.01,0.01,0.02,0.02,0.01,0.01,
27,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.01,,,,
28,0.07,0.07,0.04,0.01,0.07,0.07,0.06,0.04,0.04,0.03,0.03,0.1,0.02,0.02,0.03,
29,0.01,0.01,0.01,,0.01,0.01,0.01,,,0.01,0.01,0.05,0.01,,0.03,
30,0.02,0.02,0.01,,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,,0.02,
31,0.01,0.01,,,0.01,0.01,0.01,,,,,,,,,
